CompletionTime_us,FlowType,SizeBytes,FCT_us
100088,Mouse,3059,88
100089,Mouse,3829,89
100090,Mouse,3779,90
100091,Mouse,4186,91
100091,Mouse,3783,91
100095,Mouse,4569,95
100101,Mouse,4920,101
100103,Mouse,5213,103
100105,Mouse,5781,105
100113,Mouse,3950,105
100166,Mouse,5358,65
100212,Mouse,5611,66
100278,Mouse,3180,64
100322,Mouse,4229,65
100353,Mouse,3825,65
100355,Mouse,3830,66
100385,Mouse,4670,69
100457,Mouse,5469,67
100461,Mouse,4537,68
100523,Mouse,5421,65
100670,Mouse,3105,64
100718,Mouse,5271,68
100745,Mouse,3888,68
100902,Mouse,5015,77
100932,Mouse,3048,83
101111,Elephant,353536,974
101144,Mouse,5334,92
101148,Mouse,5611,95
101184,Mouse,4925,80
101197,Mouse,3291,72
101217,Mouse,3659,72
101277,Mouse,4630,67
101309,Elephant,261644,873
101387,Mouse,4889,69
101441,Mouse,4120,64
101521,Elephant,233680,795
101702,Mouse,5211,68
101770,Mouse,4176,68
101905,Mouse,3495,67
101911,Mouse,4090,70
101916,Mouse,3501,72
102051,Elephant,62357,334
102082,Mouse,4553,69
102113,Mouse,5114,70
102173,Mouse,4644,73
102272,Mouse,4939,75
102273,Mouse,3935,75
102317,Mouse,3466,76
102361,Mouse,4169,78
102382,Mouse,3191,76
102527,Mouse,3122,89
102534,Mouse,3042,92
102556,Mouse,3616,97
102621,Mouse,5031,108
102689,Mouse,5480,116
102710,Mouse,5300,116
102763,Elephant,549387,1323
102801,Mouse,5621,78
102818,Mouse,5638,66
102842,Mouse,3920,65
102858,Mouse,4081,64
102925,Mouse,3591,72
103066,Mouse,4751,75
103070,Mouse,4885,78
103167,Mouse,3265,70
103252,Mouse,3516,70
103404,Mouse,5377,92
103434,Mouse,5806,102
103454,Elephant,69957,423
103511,Mouse,5166,116
103556,Elephant,554074,1807
103651,Mouse,3919,64
103691,Mouse,3426,66
103810,Mouse,3538,69
103857,Mouse,3756,71
103922,Mouse,3043,64
103983,Mouse,4430,69
103998,Mouse,5678,72
104030,Mouse,3866,75
104086,Elephant,565643,1585
104088,Mouse,3660,65
104117,Mouse,4794,68
104143,Mouse,5073,65
104203,Mouse,4847,66
104207,Mouse,3314,64
104219,Mouse,3419,64
104275,Mouse,4833,67
104343,Mouse,3933,64
104382,Mouse,3917,67
104449,Mouse,5578,67
104472,Mouse,4785,75
104602,Mouse,4048,70
104607,Mouse,4497,72
104899,Mouse,5693,93
104915,Mouse,3678,97
104937,Mouse,3406,103
104946,Mouse,3182,105
105025,Mouse,4743,114
105047,Elephant,447797,1138
105145,Mouse,5653,69
105190,Mouse,5523,70
105482,Mouse,3414,91
105646,Mouse,4399,101
105735,Mouse,5422,79
105789,Mouse,3112,79
105904,Mouse,4942,94
105938,Elephant,335923,1467
105954,Mouse,4347,91
105972,Mouse,5718,90
106004,Mouse,5298,87
106129,Mouse,5544,72
106183,Mouse,5218,85
106221,Mouse,3673,90
106249,Mouse,4441,92
106300,Mouse,5834,87
106475,Mouse,3796,111
106605,Mouse,4783,115
106633,Mouse,4397,113
106643,Elephant,415851,1647
