CompletionTime_us,FlowType,SizeBytes,FCT_us
100074,Mouse,3393,74
100077,Mouse,4329,77
100080,Mouse,4939,80
100081,Mouse,5282,81
100091,Mouse,3661,64
100137,Mouse,5051,65
100152,Mouse,4864,65
100218,Mouse,3839,64
100274,Mouse,3335,66
100289,Mouse,3517,66
100306,Mouse,3015,64
100346,Mouse,4039,64
100381,Mouse,3242,72
100388,Mouse,4789,68
100516,Mouse,4241,66
100528,Mouse,4141,66
100556,Mouse,4113,72
100781,Mouse,3331,83
100802,Mouse,3085,88
100991,Mouse,4747,125
101146,Mouse,4320,143
101324,Mouse,3630,138
101340,Mouse,3374,144
101411,Mouse,3491,133
101430,Elephant,410860,1430
101483,Mouse,5238,122
101513,Mouse,4015,103
101640,Mouse,3342,77
101646,Mouse,4922,81
101671,Mouse,4933,79
101731,Mouse,5153,84
101768,Elephant,458632,1604
101796,Mouse,5657,80
101803,Mouse,3621,83
101861,Mouse,3571,72
101869,Elephant,522395,1614
101873,Mouse,5174,70
101930,Mouse,3664,64
101947,Mouse,5361,70
102080,Elephant,266048,1227
102165,Mouse,5467,66
102193,Mouse,4477,65
102231,Mouse,5194,67
102234,Mouse,4773,67
102250,Mouse,4763,65
102289,Mouse,3939,65
102294,Mouse,4876,66
102298,Mouse,3122,64
102307,Mouse,3713,64
102310,Mouse,3648,65
102366,Mouse,3592,64
102388,Mouse,5426,65
102401,Mouse,3497,65
102624,Mouse,3782,67
102666,Mouse,5466,69
102693,Mouse,4788,70
102710,Mouse,5077,70
102752,Mouse,4075,66
102762,Elephant,126192,510
102872,Mouse,4379,72
102905,Elephant,185842,639
102965,Mouse,3361,67
103057,Mouse,4284,65
103098,Mouse,5257,67
103144,Mouse,4973,71
103217,Mouse,4928,68
103241,Mouse,4651,65
103357,Mouse,3047,66
103410,Mouse,4051,64
103430,Mouse,4739,65
103438,Mouse,5594,71
103460,Mouse,4270,65
103508,Mouse,4067,64
103671,Mouse,4748,69
103944,Mouse,3588,69
103953,Mouse,4302,65
103969,Elephant,425161,1211
104191,Mouse,4765,65
104198,Mouse,5158,67
104244,Mouse,4926,65
104323,Mouse,4942,68
104493,Mouse,4168,74
104569,Mouse,3543,71
104614,Mouse,4794,83
104645,Mouse,3800,91
104672,Mouse,3601,97
104741,Mouse,4486,106
104767,Mouse,4342,115
104789,Elephant,184806,723
104815,Mouse,5064,113
104831,Mouse,4616,112
104842,Mouse,5087,115
105024,Elephant,211901,831
105093,Elephant,205712,775
105102,Mouse,3275,64
105394,Mouse,3790,65
105469,Elephant,413470,1303
105478,Mouse,3717,65
105487,Mouse,3156,64
105530,Mouse,5151,65
105546,Mouse,5549,66
105578,Mouse,3275,64
105747,Mouse,5505,66
105801,Mouse,3656,64
105835,Mouse,3210,64
105992,Mouse,5134,71
105996,Mouse,3672,72
106085,Mouse,3325,67
106115,Mouse,4660,74
106120,Mouse,3858,76
106130,Mouse,3464,80
106142,Mouse,3332,83
106197,Mouse,4476,84
106223,Mouse,3659,87
106237,Mouse,4294,86
106302,Mouse,3501,90
106444,Mouse,3819,103
106523,Mouse,3651,126
106534,Mouse,3284,129
106692,Mouse,4144,118
106702,Elephant,211843,910
106719,Mouse,4175,116
106745,Mouse,3606,123
106783,Mouse,5458,117
106832,Mouse,5838,121
107024,Mouse,5674,113
107059,Mouse,3574,112
107071,Mouse,3288,112
107150,Mouse,5342,115
107167,Mouse,3361,115
107177,Mouse,5568,119
107189,Mouse,5435,123
107192,Elephant,385581,1461
107205,Mouse,5551,121
107303,Mouse,5563,77
107350,Mouse,3075,86
107358,Elephant,396504,1539
107532,Mouse,3083,84
107674,Mouse,3071,95
107758,Mouse,5048,105
107831,Mouse,4603,116
107838,Elephant,359211,1788
107896,Mouse,5126,88
108032,Mouse,3706,84
108170,Elephant,437240,1803
108215,Elephant,217505,884
108304,Mouse,4042,70
108317,Mouse,4091,73
108338,Mouse,4227,67
108380,Mouse,5492,69
108388,Mouse,4904,77
108410,Mouse,4963,66
108433,Elephant,558490,2144
108483,Elephant,52843,337
108601,Mouse,4410,65
108604,Mouse,3950,65
108611,Mouse,3914,64
108766,Mouse,3057,64
108830,Mouse,5125,65
108911,Mouse,4479,65
108918,Mouse,3328,64
108955,Mouse,5169,66
108974,Mouse,5050,65
109041,Mouse,5626,70
109088,Mouse,4279,74
109174,Mouse,3883,64
109220,Mouse,3824,66
109330,Mouse,5286,75
109364,Mouse,4150,78
109384,Mouse,3026,79
109417,Mouse,4862,85
109537,Mouse,5494,100
109600,Mouse,4059,112
109798,Mouse,3467,114
109831,Mouse,3404,115
109866,Mouse,5433,120
109900,Mouse,3514,122
109928,Mouse,3924,128
109997,Mouse,4567,130
110054,Mouse,5066,125
110085,Mouse,5568,124
110123,Elephant,521384,1503
110143,Mouse,3865,109
110329,Mouse,3262,97
110484,Mouse,4141,115
110528,Elephant,278986,1341
110553,Mouse,4839,116
110627,Mouse,5827,100
110636,Mouse,3025,102
110655,Elephant,584938,1841
110706,Mouse,5416,84
110729,Mouse,4634,68
110771,Mouse,4608,77
110805,Mouse,3326,70
110876,Mouse,3374,76
110885,Mouse,3051,79
110922,Mouse,3574,83
110953,Elephant,300421,1591
111020,Mouse,3765,86
111069,Mouse,5745,83
111097,Mouse,5379,90
111163,Mouse,3005,105
