Time_us,Queue_Pkts
100000,0
100050,0
100100,0
100150,0
100200,0
100250,0
100300,0
100350,0
100400,0
100450,0
100500,0
100550,0
100600,0
100650,0
100700,0
100750,11
100800,30
100850,23
100900,43
100950,50
101000,49
101050,49
101100,62
101150,63
101200,52
101250,49
101300,67
101350,53
101400,33
101450,35
101500,30
101550,24
101600,0
101650,8
101700,3
101750,8
101800,3
101850,0
101900,0
101950,0
102000,0
102050,0
102100,0
102150,0
102200,0
102250,0
102300,0
102350,0
102400,0
102450,0
102500,0
102550,0
102600,0
102650,0
102700,0
102750,0
102800,0
102850,0
102900,0
102950,0
103000,0
103050,0
103100,0
103150,0
103200,0
103250,0
103300,0
103350,0
103400,0
103450,0
103500,0
103550,0
103600,0
103650,0
103700,0
103750,0
103800,0
103850,0
103900,0
103950,0
104000,0
104050,0
104100,0
104150,0
104200,0
104250,1
104300,0
104350,0
104400,0
104450,0
104500,0
104550,0
104600,26
104650,25
104700,27
104750,42
104800,19
104850,6
104900,0
104950,0
105000,0
105050,0
105100,0
105150,0
105200,0
105250,0
105300,0
105350,0
105400,0
105450,0
105500,0
105550,0
105600,0
105650,0
105700,0
105750,0
105800,0
105850,0
105900,0
105950,0
106000,0
106050,0
106100,7
106150,13
106200,3
106250,17
106300,12
106350,12
106400,29
106450,48
106500,62
106550,51
106600,44
106650,38
106700,34
106750,32
106800,35
106850,35
106900,32
106950,31
107000,29
107050,36
107100,27
107150,53
107200,29
107250,0
107300,9
107350,5
107400,1
107450,5
107500,9
107550,21
107600,19
107650,19
107700,21
107750,36
107800,34
107850,4
107900,3
107950,5
108000,6
108050,21
108100,21
108150,9
108200,0
108250,0
108300,0
108350,0
108400,0
108450,0
108500,0
108550,0
108600,0
108650,0
108700,0
108750,0
108800,0
108850,0
108900,0
108950,0
109000,0
109050,0
109100,0
109150,0
109200,0
109250,0
109300,0
109350,10
109400,15
109450,15
109500,20
109550,36
109600,35
109650,35
109700,38
109750,39
109800,25
109850,58
109900,41
109950,46
110000,35
110050,40
110100,30
110150,16
110200,13
110250,18
110300,25
110350,36
110400,26
110450,42
110500,26
110550,24
110600,15
110650,3
110700,3
110750,0
110800,3
110850,0
110900,19
110950,23
111000,0
111050,19
111100,26
111150,25
111200,28
111250,0
111300,0
111350,0
111400,0
111450,2
111500,0
111550,1
111600,0
111650,1
111700,1
111750,3
111800,20
111850,22
111900,0
111950,0
112000,0
112050,0
112100,0
112150,0
112200,0
112250,0
112300,0
112350,0
112400,0
112450,0
112500,1
112550,0
112600,0
112650,0
112700,0
112750,0
112800,0
112850,0
112900,0
112950,0
113000,0
113050,0
113100,0
113150,0
113200,0
113250,6
113300,5
113350,0
113400,13
113450,0
113500,0
113550,0
113600,0
113650,0
113700,19
113750,15
113800,24
113850,27
113900,1
113950,9
114000,7
114050,16
114100,8
114150,16
114200,13
114250,10
114300,12
114350,7
114400,0
114450,7
114500,0
114550,0
114600,0
114650,0
114700,0
114750,0
114800,0
114850,0
114900,0
114950,0
115000,0
115050,0
115100,1
115150,0
115200,6
115250,0
115300,0
115350,0
115400,0
115450,0
115500,0
115550,0
115600,0
115650,0
115700,0
115750,0
115800,0
115850,0
115900,0
115950,0
116000,0
116050,0
116100,0
116150,0
116200,0
116250,0
116300,0
116350,0
116400,0
116450,0
116500,0
116550,0
116600,0
116650,0
116700,0
116750,0
116800,0
116850,0
116900,0
116950,0
117000,0
117050,0
117100,0
117150,0
117200,0
117250,0
117300,0
117350,0
117400,0
117450,0
117500,0
117550,0
117600,0
117650,0
117700,0
117750,0
117800,0
117850,0
117900,0
117950,0
118000,0
118050,0
118100,0
118150,0
118200,0
118250,0
118300,0
118350,0
118400,0
118450,0
118500,0
118550,4
118600,0
118650,0
118700,3
118750,0
118800,0
118850,8
118900,0
118950,3
119000,11
119050,3
119100,0
119150,0
119200,0
119250,0
119300,0
119350,0
119400,0
119450,0
119500,0
119550,0
119600,0
119650,0
119700,0
119750,0
119800,0
119850,0
119900,0
119950,0
120000,0
120050,0
120100,0
120150,0
120200,0
120250,0
120300,0
120350,0
120400,0
120450,0
120500,0
120550,0
120600,0
120650,0
120700,0
120750,0
120800,0
120850,0
120900,0
120950,0
121000,0
121050,0
121100,0
121150,0
121200,0
121250,0
121300,0
121350,0
121400,0
121450,0
121500,0
121550,0
121600,0
121650,0
121700,0
121750,0
121800,0
121850,0
121900,0
121950,0
122000,0
122050,0
122100,0
122150,0
122200,0
122250,0
122300,0
122350,0
122400,0
122450,0
122500,0
122550,0
122600,0
122650,0
122700,0
122750,0
122800,0
122850,0
122900,0
122950,0
123000,0
123050,0
123100,0
123150,0
123200,0
123250,0
123300,0
123350,0
123400,0
123450,0
123500,0
123550,3
123600,14
123650,10
123700,19
123750,22
123800,3
123850,0
123900,0
123950,0
124000,0
124050,0
124100,0
124150,0
124200,0
124250,0
124300,0
124350,0
124400,0
124450,0
124500,0
124550,0
124600,0
124650,0
124700,0
124750,0
124800,0
124850,0
124900,0
124950,0
125000,0
125050,0
125100,0
125150,0
125200,0
125250,0
125300,0
125350,0
125400,0
125450,0
125500,0
125550,0
125600,0
125650,0
125700,0
125750,0
125800,0
125850,0
125900,0
125950,0
126000,0
126050,0
126100,0
126150,0
126200,0
126250,0
126300,6
126350,1
126400,11
126450,0
126500,0
126550,0
126600,0
126650,0
126700,0
126750,0
126800,0
126850,0
126900,0
126950,0
127000,0
127050,0
127100,0
127150,0
127200,0
127250,0
127300,0
127350,0
127400,0
127450,0
127500,0
127550,0
127600,0
127650,0
127700,0
127750,0
127800,0
127850,0
127900,0
127950,0
128000,0
128050,0
128100,0
128150,0
128200,0
128250,0
128300,0
128350,0
128400,0
128450,0
128500,0
128550,0
128600,15
128650,3
128700,10
128750,0
128800,0
128850,0
128900,0
128950,0
129000,0
129050,0
129100,0
129150,0
129200,0
129250,0
129300,0
129350,0
129400,0
129450,0
129500,0
129550,0
129600,0
129650,0
129700,0
129750,0
129800,4
129850,0
129900,0
129950,0
130000,0
130050,0
130100,0
130150,0
130200,0
130250,0
130300,0
130350,0
130400,0
130450,0
130500,0
130550,0
130600,0
130650,0
130700,1
130750,0
130800,0
130850,0
130900,0
130950,0
131000,0
131050,0
131100,0
131150,0
131200,0
131250,1
131300,0
131350,1
131400,5
131450,0
131500,0
131550,3
131600,0
131650,0
131700,0
131750,0
131800,0
131850,0
131900,0
131950,0
132000,0
132050,0
132100,0
132150,0
132200,0
132250,0
132300,0
132350,0
132400,0
132450,0
132500,0
132550,0
132600,0
132650,0
132700,0
132750,0
132800,0
132850,0
132900,0
132950,0
133000,0
133050,0
133100,0
133150,7
133200,0
133250,15
133300,8
133350,0
133400,0
133450,0
133500,0
133550,0
133600,0
133650,0
133700,0
133750,0
133800,0
133850,0
133900,0
133950,0
134000,0
134050,0
134100,0
134150,0
134200,0
134250,0
134300,0
134350,0
134400,0
134450,0
134500,0
134550,0
134600,0
134650,0
134700,0
134750,0
134800,0
134850,5
134900,0
134950,4
135000,10
135050,10
135100,24
135150,0
135200,0
135250,0
135300,0
135350,0
135400,0
135450,0
135500,0
135550,0
135600,0
135650,0
135700,0
135750,0
135800,0
135850,0
135900,0
135950,0
136000,0
136050,0
136100,0
136150,0
136200,0
136250,0
136300,0
136350,0
136400,3
136450,0
136500,0
136550,0
136600,0
136650,13
136700,3
136750,1
136800,0
136850,0
136900,0
136950,0
137000,0
137050,0
137100,0
137150,0
137200,0
137250,0
137300,0
137350,0
137400,0
137450,0
137500,0
137550,0
137600,0
137650,0
137700,0
137750,0
137800,0
137850,19
137900,0
137950,0
138000,0
138050,0
138100,0
138150,5
138200,0
138250,0
138300,0
138350,0
138400,0
138450,0
138500,0
138550,0
138600,0
138650,0
138700,0
138750,0
138800,0
138850,0
138900,0
138950,0
139000,0
139050,0
139100,0
139150,0
139200,0
139250,0
139300,0
139350,0
139400,0
139450,0
139500,0
139550,0
139600,0
139650,0
139700,0
139750,0
139800,0
139850,0
139900,0
139950,0
140000,0
140050,0
140100,0
140150,0
140200,0
140250,0
140300,0
140350,0
140400,0
140450,0
140500,0
140550,0
140600,0
140650,0
140700,0
140750,0
140800,0
140850,0
140900,0
140950,0
141000,0
141050,0
141100,0
141150,0
141200,0
141250,1
141300,0
141350,0
141400,0
141450,0
141500,0
141550,0
141600,0
141650,0
141700,2
141750,1
141800,0
141850,0
141900,0
141950,3
142000,0
142050,13
142100,0
142150,0
142200,0
142250,0
142300,0
142350,0
142400,0
142450,0
142500,0
142550,0
142600,0
142650,0
142700,0
142750,0
142800,0
142850,0
142900,0
142950,0
143000,0
143050,0
143100,0
143150,0
143200,0
143250,0
143300,0
143350,0
143400,0
143450,0
143500,0
143550,0
143600,0
143650,3
143700,0
143750,0
143800,0
143850,0
143900,0
143950,0
144000,0
144050,0
144100,0
144150,0
144200,0
144250,0
144300,0
144350,0
144400,0
144450,0
144500,5
144550,0
144600,4
144650,0
144700,0
144750,0
144800,0
144850,0
144900,0
144950,0
145000,0
145050,0
145100,0
145150,0
145200,0
145250,0
145300,0
145350,9
145400,0
145450,0
145500,0
145550,0
145600,0
145650,0
145700,1
145750,0
145800,0
145850,0
145900,0
145950,0
146000,0
146050,0
146100,0
146150,0
146200,0
146250,0
146300,0
146350,0
146400,0
146450,0
146500,0
146550,0
146600,0
146650,0
146700,0
146750,0
146800,0
146850,0
146900,0
146950,0
147000,0
147050,0
147100,0
147150,0
147200,1
147250,0
147300,0
147350,0
147400,0
147450,0
147500,2
147550,12
147600,0
147650,1
147700,5
147750,0
147800,0
147850,0
147900,0
147950,0
148000,5
148050,8
148100,0
148150,0
148200,0
148250,0
148300,0
148350,0
148400,0
148450,0
148500,0
148550,0
148600,0
148650,0
148700,0
148750,0
148800,0
148850,0
148900,0
148950,0
149000,0
149050,0
149100,0
149150,0
149200,0
149250,0
149300,0
149350,0
149400,0
149450,0
149500,0
149550,0
149600,0
149650,0
149700,0
149750,0
149800,0
149850,0
149900,0
149950,0
150000,0
150050,0
150100,0
150150,0
150200,0
150250,0
150300,0
150350,0
150400,0
150450,0
150500,0
150550,0
150600,4
150650,0
150700,5
150750,15
150800,21
150850,23
150900,36
150950,23
151000,0
151050,0
151100,0
151150,0
151200,9
151250,0
151300,1
151350,0
151400,3
151450,0
151500,0
151550,0
151600,0
151650,0
151700,5
151750,11
151800,0
151850,0
151900,0
151950,0
152000,0
152050,0
152100,0
152150,0
152200,0
152250,0
152300,0
152350,0
152400,0
152450,0
152500,0
152550,0
152600,0
152650,0
152700,0
152750,0
152800,0
152850,0
152900,1
152950,0
153000,0
153050,0
153100,0
153150,0
153200,0
153250,0
153300,0
153350,0
153400,0
153450,0
153500,0
153550,0
153600,0
153650,0
153700,0
153750,0
153800,0
153850,0
153900,0
153950,0
154000,0
154050,0
154100,0
154150,0
154200,0
154250,0
154300,0
154350,0
154400,0
154450,0
154500,0
154550,0
154600,0
154650,0
154700,0
154750,0
154800,0
154850,0
154900,0
154950,0
155000,0
155050,0
155100,0
155150,0
155200,0
155250,0
155300,0
155350,0
155400,0
155450,0
155500,0
155550,0
155600,0
155650,0
155700,37
155750,30
155800,25
155850,17
155900,21
155950,29
156000,41
156050,20
156100,0
156150,0
156200,15
156250,27
156300,25
156350,27
156400,48
156450,58
156500,53
156550,34
156600,18
156650,24
156700,2
156750,0
156800,0
156850,7
156900,16
156950,16
157000,5
157050,0
157100,16
157150,14
157200,31
157250,28
157300,46
157350,38
157400,42
157450,36
157500,25
157550,35
157600,24
157650,23
157700,15
157750,0
157800,0
157850,14
157900,0
157950,0
158000,0
158050,0
158100,0
158150,0
158200,0
158250,0
158300,0
158350,0
158400,0
158450,0
158500,0
158550,0
158600,0
158650,0
158700,0
158750,0
158800,0
158850,0
158900,0
158950,0
159000,0
159050,0
159100,0
159150,0
159200,0
159250,0
159300,0
159350,3
159400,0
159450,0
159500,0
159550,0
159600,0
159650,0
159700,0
159750,0
159800,0
159850,0
159900,0
159950,0
160000,0
160050,0
160100,0
160150,0
160200,0
160250,0
160300,0
160350,0
160400,0
160450,0
160500,0
160550,0
160600,0
160650,0
160700,0
160750,0
160800,0
160850,0
160900,0
160950,0
161000,0
161050,0
161100,0
161150,0
161200,0
161250,0
161300,0
161350,0
161400,0
161450,0
161500,0
161550,0
161600,0
161650,0
161700,0
161750,0
161800,0
161850,0
161900,0
161950,0
162000,0
162050,0
162100,0
162150,0
162200,0
162250,0
162300,0
162350,0
162400,0
162450,0
162500,0
162550,0
162600,0
162650,0
162700,0
162750,0
162800,0
162850,0
162900,0
162950,0
163000,0
163050,0
163100,0
163150,9
163200,4
163250,7
163300,13
163350,15
163400,25
163450,18
163500,7
163550,0
163600,8
163650,20
163700,24
163750,32
163800,45
163850,32
163900,23
163950,19
164000,23
164050,23
164100,24
164150,12
164200,30
164250,46
164300,50
164350,28
164400,52
164450,35
164500,45
164550,32
164600,18
164650,0
164700,19
164750,14
164800,31
164850,19
164900,43
164950,31
165000,24
165050,21
165100,16
165150,27
165200,8
165250,11
165300,19
165350,17
165400,33
165450,26
165500,28
165550,28
165600,52
165650,54
165700,41
165750,39
165800,44
165850,32
165900,10
165950,0
166000,0
166050,0
166100,0
166150,0
166200,0
166250,0
166300,0
166350,0
166400,0
166450,0
166500,0
166550,0
166600,0
166650,0
166700,0
166750,0
166800,0
166850,0
166900,0
166950,0
167000,0
167050,0
167100,0
167150,0
167200,0
167250,0
167300,0
167350,0
167400,0
167450,0
167500,0
167550,0
167600,0
167650,0
167700,0
167750,0
167800,6
167850,0
167900,0
167950,0
168000,0
168050,0
168100,8
168150,0
168200,0
168250,0
168300,0
168350,12
168400,39
168450,39
168500,51
168550,50
168600,35
168650,42
168700,7
168750,0
168800,2
168850,0
168900,24
168950,18
169000,32
169050,7
169100,9
169150,24
169200,24
169250,15
169300,32
169350,31
169400,16
169450,0
169500,0
169550,0
169600,0
169650,7
169700,13
169750,4
169800,0
169850,7
169900,7
169950,13
170000,20
170050,0
170100,0
170150,0
170200,0
170250,0
170300,0
170350,0
170400,0
170450,0
170500,0
170550,0
170600,0
170650,0
170700,0
170750,0
170800,5
170850,0
170900,0
170950,10
171000,2
171050,0
171100,0
171150,0
171200,0
171250,0
171300,0
171350,0
171400,0
171450,0
171500,0
171550,0
171600,0
171650,0
171700,0
171750,0
171800,0
171850,0
171900,0
171950,1
172000,8
172050,21
172100,21
172150,19
172200,19
172250,38
172300,33
172350,35
172400,36
172450,17
172500,22
172550,0
172600,0
172650,0
172700,0
172750,7
172800,0
172850,16
172900,0
172950,0
173000,0
173050,0
173100,0
173150,0
173200,0
173250,0
173300,0
173350,0
173400,0
173450,0
173500,0
173550,0
173600,0
173650,0
173700,1
173750,0
173800,0
173850,0
173900,0
173950,0
174000,11
174050,5
174100,2
174150,0
174200,1
174250,8
174300,17
174350,19
174400,16
174450,26
174500,13
174550,36
174600,12
174650,17
174700,27
174750,2
174800,9
174850,6
174900,10
174950,17
175000,2
175050,1
175100,0
175150,2
175200,0
175250,0
175300,0
175350,0
175400,0
175450,0
175500,0
175550,0
175600,0
175650,0
175700,0
175750,0
175800,0
175850,0
175900,0
175950,0
176000,0
176050,0
176100,0
176150,9
176200,0
176250,16
176300,31
176350,21
176400,26
176450,24
176500,46
176550,29
176600,20
176650,6
176700,0
176750,0
176800,0
176850,0
176900,0
176950,8
177000,0
177050,0
177100,3
177150,0
177200,0
177250,0
177300,0
177350,0
177400,0
177450,0
177500,0
177550,0
177600,0
177650,0
177700,0
177750,0
177800,0
177850,0
177900,0
177950,0
178000,0
178050,0
178100,0
178150,0
178200,0
178250,0
178300,0
178350,0
178400,0
178450,0
178500,0
178550,0
178600,0
178650,0
178700,0
178750,0
178800,0
178850,0
178900,0
178950,0
179000,0
179050,0
179100,0
179150,0
179200,0
179250,4
179300,0
179350,0
179400,0
179450,0
179500,0
179550,0
179600,0
179650,0
179700,0
179750,0
179800,0
179850,0
179900,0
179950,0
180000,0
180050,0
180100,0
180150,0
180200,0
180250,0
180300,0
180350,0
180400,0
180450,0
180500,0
180550,0
180600,0
180650,0
180700,0
180750,0
180800,0
180850,0
180900,0
180950,0
181000,0
181050,0
181100,0
181150,0
181200,0
181250,0
181300,0
181350,0
181400,0
181450,0
181500,0
181550,0
181600,0
181650,0
181700,0
181750,0
181800,0
181850,0
181900,0
181950,3
182000,0
182050,0
182100,0
182150,0
182200,0
182250,0
182300,0
182350,0
182400,1
182450,0
182500,0
182550,0
182600,0
182650,0
182700,0
182750,0
182800,0
182850,0
182900,0
182950,0
183000,0
183050,0
183100,0
183150,0
183200,0
183250,0
183300,0
183350,0
183400,0
183450,0
183500,0
183550,0
183600,0
183650,0
183700,0
183750,0
183800,0
183850,0
183900,0
183950,0
184000,0
184050,0
184100,0
184150,0
184200,0
184250,0
184300,0
184350,0
184400,0
184450,0
184500,0
184550,0
184600,0
184650,0
184700,0
184750,0
184800,0
184850,0
184900,0
184950,0
185000,0
185050,0
185100,0
185150,0
185200,0
185250,0
185300,0
185350,0
185400,0
185450,0
185500,0
185550,0
185600,0
185650,0
185700,0
185750,0
185800,0
185850,0
185900,0
185950,0
186000,0
186050,0
186100,0
186150,0
