CompletionTime_us,FlowSize_B,FCT_us
100060,145,60
100061,549,61
100065,5405,65
100067,6613,67
100106,17522,106
100107,18450,107
100117,31186,117
100118,31649,118
100123,879,123
100124,38887,124
100134,1298,134
100142,2144,142
100149,46870,149
100149,47722,149
100151,48963,151
100161,61230,161
100161,5764,161
100174,4974,174
100190,8029,190
100196,6762,196
100208,11821,208
100214,8586,214
100218,8580,218
100218,8337,218
100221,6845,221
100231,7910,231
100234,8102,234
100252,11511,252
100263,8252,263
100315,14166,315
100316,420,316
100324,17981,324
100346,25722,346
100366,13072,366
100397,18669,397
100403,17818,403
100421,25591,421
100424,22871,424
100427,29201,427
100462,17316,462
100471,28812,471
100503,23856,503
100522,42612,522
100541,30474,541
100543,28052,543
100575,33295,575
100632,33884,632
100682,644908,682
100685,3180,193
100721,45816,721
100753,45504,753
100772,57479,772
100795,56109,795
100804,35878,804
100814,26744,533
100859,29138,298
100868,11539,89
100882,51676,882
100885,49240,885
100890,22341,276
100895,9612,149
100901,60329,901
100986,60838,986
101031,1836,161
101083,76779,1083
101085,152980,523
101106,54506,155
101149,51575,975
101153,78381,1153
101175,60418,540
101179,56266,1179
101183,66317,1183
101195,72679,1195
101199,25741,399
101202,70007,1202
101215,62929,1215
101221,72747,1221
101305,77712,1305
101342,77323,1342
101376,77120,1376
101410,1374537,1410
101452,78565,451
101498,139214,1498
101536,97441,1536
101642,345366,400
101645,134202,1645
101665,1777870,1665
101689,155636,1141
101727,65928,1727
101850,32729,508
101905,56174,497
101970,121154,1970
101995,70833,1995
102052,1995202,2052
102135,2037,198
102282,54594,157
102334,27912,831
102348,28456,482
102420,1268,62
102422,7725,67
102452,77956,2452
102493,6423,66
102708,1463,62
102723,41154,551
102743,853,61
102756,4287,71
102845,4429,229
102954,16257,289
103103,1839193,1790
103419,24616,642
103474,10942,70
103693,25302,452
103717,4213393,3717
103777,8565,224
103803,334773,534
103810,24662,385
103834,43249,378
103850,12307,269
103872,24686,355
104025,73313,582
104082,68244,842
104178,5207,174
104206,13234,264
104211,485965,4211
104267,4862,266
104301,32222,310
104315,49179,563
104409,33867,120
104460,14790,442
104547,1007495,1007
104673,68361,528
104681,64021,1869
104692,13286,264
104775,192974,1250
104816,33253,539
104820,10199,295
104839,123573,2024
104873,134678,1058
104888,22981,393
104898,69399,639
104968,148177,3585
104990,50453,531
105028,65538,1197
105043,148712,850
105048,3992,210
105096,49327,1491
105149,27251,416
105226,530,168
105276,127694,639
105399,14667,415
105423,47627,1192
105524,23445,319
105630,10829,292
105631,69090,568
105904,55556,461
105934,145614,3109
105943,1094999,4569
106038,2302,238
106074,2240,177
106136,61246,650
106142,76805,2148
106241,25575,410
106459,174264,2898
106509,160900,3171
106645,204207,1875
106646,23244,111
106647,53713,567
106711,169003,1337
106728,9949,241
106814,15328,437
106902,4165,196
107029,4711,191
107150,63435,555
107388,9662,70
107446,2456,202
107528,4371312,4056
107715,168446,269
107727,65185,541
107764,195169,2587
107975,1150,243
108022,55979,544
108060,25473,454
108070,66833,547
108131,5936,284
108149,8073,232
108210,9342,232
108420,141323,2419
108515,18983,453
108622,24205,112
108624,6179,260
108624,786853,8624
108657,544038,8657
108728,27545,657
108772,1158511,8772
108850,932822,6229
108865,15164,531
108885,22159,616
108901,49461,151
108918,69892,2046
108958,41234,463
108967,40484,857
108983,6072,338
108986,1002486,7190
109036,1630292,9036
109041,1981,211
109171,36988,494
109187,7454,240
109312,1441543,9312
109379,12849,185
109398,24149,328
109536,708816,7905
109679,8894,300
109711,5615,194
109757,60908,2705
109788,8522,254
109801,12346,261
109872,277815,977
110054,14775,103
110055,9188,189
110089,39239,124
110222,103331,198
110309,208386,3313
110318,923,230
110341,42596,860
110415,848129,10415
110717,23413,474
111110,1395112,1333
111110,5944,211
111162,192061,3072
111167,27862,593
111238,1119616,11238
111264,37499,423
111307,31768,386
111320,23319,472
111410,1091214,11410
111455,16093,442
111463,72591,171
111481,35336,647
111532,12590,249
111590,60861,1035
111612,1164613,11612
111667,7892,263
111673,41831,1006
111704,168064,3545
111718,728038,10203
111758,4468324,4170
111827,67055,775
111854,3831,257
111882,1469,246
111985,64128,1920
112158,41063,430
112174,139295,884
112251,453813,4313
112420,1693,343
112565,587993,3311
112634,3068,235
112703,77564,936
112805,1119600,12805
112888,7586,260
112978,100340,1360
113025,469878,2906
113031,21593,354
113033,1032,347
113056,1208833,10065
113086,9269,376
113216,24766,380
113253,24459,545
113253,97497,1587
113574,49385,152
113654,36419,354
113664,63903,613
113782,23174,112
113799,30094,408
113891,45993,1466
113945,136721,807
114068,21304,535
114112,51935,1355
114174,167923,5073
114208,63007,1562
114214,1206532,14214
114406,7174,234
114480,380328,11436
114541,44725,1182
114592,1227,239
114628,149450,4261
114863,51465,643
114897,40620,444
114973,1942081,14973
115024,8151,279
115060,784802,814
115132,10829,209
115138,544394,8085
115174,2566,193
115328,38438,913
115501,11286,326
115541,56086,1937
115572,167585,263
115602,74468,867
115642,114017,1609
115672,1569,306
115678,68903,1166
115696,5554,209
115731,9370,300
115740,6129,328
115742,48851,1152
115763,5358,353
116259,6910,244
116351,67917,581
116409,2918,204
116466,377313,6643
116504,68665,2086
116561,397905,10611
116572,2339,226
116600,9704,273
116683,7958,262
116688,106725,200
116731,54744,1729
116794,174187,1895
116803,865154,11355
116851,154116,244
116852,9999,262
116866,141114,4015
116913,39945,808
116939,50842,561
116965,100,262
116972,41218,1051
117012,1741955,15939
117175,7885,248
117331,2909,243
117460,6444,220
117542,1446268,1368
117726,910849,8872
117733,16799,391
117845,165224,4984
117965,32354,123
118020,2180,269
118045,7607,67
118065,76941,2614
118099,603720,6145
118147,2769,221
118186,11104,367
118237,63223,1785
