CompletionTime_us,FlowSize_B,FCT_us
100060,145,60
100061,549,61
100065,5405,65
100067,6613,67
100106,17522,106
100107,18450,107
100117,31186,117
100118,31649,118
100123,879,123
100124,38887,124
100134,1298,134
100142,2144,142
100149,46870,149
100149,47722,149
100151,48963,151
100161,61230,161
100161,5764,161
100174,4974,174
100190,8029,190
100196,6762,196
100208,11821,208
100214,8586,214
100218,8580,218
100218,8337,218
100221,6845,221
100231,7910,231
100234,8102,234
100252,11511,252
100263,8252,263
100315,14166,315
100316,420,316
100324,17981,324
100351,25722,351
100366,13072,366
100383,18669,383
100405,17818,405
100437,25591,437
100440,29201,440
100442,42612,442
100448,17316,448
100452,22871,452
100488,28812,488
100518,33295,518
100547,28052,547
100560,23856,560
100561,30474,561
100612,33884,612
100627,57479,627
100681,644908,681
100682,56109,682
100686,45816,686
100749,49240,749
100759,60329,759
100767,70007,767
100790,76779,790
100819,51676,819
100829,3180,337
100863,77712,863
100913,45504,913
100991,72747,991
101020,11539,241
101041,62929,1041
101089,60838,1089
101108,54506,156
101130,97441,1130
101139,35878,1139
101202,26744,921
101209,77956,1209
101261,29138,700
101266,56266,1266
101290,66317,1290
101309,139214,1309
101311,22341,697
101321,77323,1321
101342,25741,543
101356,9612,611
101392,1374537,1392
101535,485965,1535
101538,78381,1538
101558,1836,688
101564,72679,1564
101572,121154,1572
101642,345366,400
101674,1777870,1674
101757,60418,1122
101783,51575,1609
101858,77120,1858
101881,65928,1881
101953,1995202,1953
102002,32729,661
102050,155636,1501
102124,70833,2124
102290,54594,165
102308,2037,371
102366,27912,863
102420,1268,62
102423,7725,68
102479,28456,613
102493,6423,66
102708,1463,62
102743,853,61
102755,4287,70
102989,56174,1582
103011,4429,396
103037,16257,372
103041,1839193,1729
103221,78565,2220
103325,24616,547
103477,10942,72
103532,41154,1360
103597,848129,3597
103725,123573,911
103787,4213393,3787
103835,334773,566
103865,68244,624
103897,24662,471
103941,148177,2558
103945,25302,704
104040,12307,459
104053,8565,500
104073,43249,617
104111,152980,3549
104232,24686,714
104319,13234,378
104381,5207,376
104407,4862,406
104409,33867,120
104438,1094999,3064
104531,160900,1194
104540,73313,1097
104551,174264,991
104555,1007495,1015
104565,49179,813
104620,32222,630
104651,65538,821
104666,14790,647
104698,49327,1092
104712,33253,435
104823,192974,1298
104829,10199,304
104906,76805,912
105004,68361,859
105023,22981,528
105119,13286,692
105162,145614,2336
105309,64021,2497
105328,3992,490
105361,47627,1131
105403,134202,5403
105438,27251,705
105455,530,397
105515,14667,531
105802,10829,464
105847,69090,784
105880,50453,1421
105921,69399,1662
105923,23445,718
106073,204207,1303
106096,2302,296
106202,55556,759
106211,2240,314
106287,25575,456
106474,932822,3853
106644,61246,1158
106646,23244,111
106723,1002486,4927
106775,9949,289
106912,53713,832
106998,15328,622
107077,4165,372
107089,141323,1088
107269,134678,3454
107284,541106,4592
107388,9662,69
107388,4711,551
107435,148712,3242
107551,4371312,4079
107703,168446,256
107861,2456,617
108057,66833,534
108097,65185,911
108111,1150,378
108121,127694,3484
108212,55979,734
108293,60908,1241
108307,5936,460
108337,8073,420
108435,25473,829
108485,726546,5282
108503,9342,525
108546,18983,485
108622,24205,112
108710,6179,345
108739,27545,667
108901,49461,151
108907,22159,639
108965,40484,856
108983,15164,649
109025,6072,380
109162,63435,2567
109189,1206532,9189
109257,1981,428
109290,41234,794
109380,7454,433
109393,195169,4215
109531,12849,337
109606,192061,1517
109616,24149,546
109617,169003,4242
109622,8894,242
109658,36988,980
109899,5615,382
109918,12346,378
109945,8522,412
109973,397905,4022
110054,14775,103
110082,208386,3086
110089,39239,124
110181,42596,699
110233,103331,208
110246,9188,380
110552,923,464
110761,167923,1660
110882,544038,10882
110967,23413,724
111155,1395112,1379
111247,64128,1183
111325,5944,427
111326,27862,752
111402,41831,735
111417,587993,2163
111465,72591,174
111469,37499,628
111501,31768,580
111585,60861,1030
111657,16093,645
111658,23319,810
111699,12590,417
111768,4468324,4180
111798,7892,394
111799,69892,4927
111870,3831,273
112005,1469,369
112073,149450,1706
112113,67055,1062
112165,35336,1330
112189,1082580,8085
112519,1693,442
112754,139295,1464
112788,380328,9744
113018,9269,308
113029,1032,343
113071,3068,673
113154,1119616,13154
113200,7586,572
113237,786853,13237
113259,41063,1531
113322,24459,614
113413,24766,577
113504,100340,1886
113538,45993,1113
113566,21593,889
113574,49385,152
113754,1158511,13754
113781,23174,111
113869,51935,1112
114003,36419,704
114082,136721,945
114341,44725,982
114392,21304,858
114501,165224,1640
114502,7174,330
114553,168064,6393
114569,30094,1178
114858,97497,3192
114976,56086,1372
115027,1227,674
115056,784802,809
115056,63903,2005
115079,8151,333
115099,114017,1066
115209,77564,3442
115319,51465,1100
115362,63007,2717
115424,10829,501
115482,68903,970
115484,2566,504
115552,38438,1137
115565,48851,976
115570,167585,261
115590,11286,415
115621,728038,14106
115696,40620,1244
115715,1569,348
115720,9370,289
115824,6129,412
115961,5358,550
116092,68665,1673
116096,5554,610
116117,54744,1116
116303,174187,1405
116368,176614,1392
116436,6910,421
116642,2918,437
116687,106725,199
116721,9704,394
116762,2339,415
116770,76941,1319
116795,7958,374
116849,67917,1078
116849,154116,242
116869,39945,764
116932,9999,341
117077,74468,2343
117198,100,495
117207,41218,1286
117295,708816,15664
117482,7885,555
117482,50842,1104
117524,1446268,1351
117627,63223,1175
117636,6444,395
117738,2909,649
117848,16799,507
117871,544394,10818
117961,32354,120
118022,2180,271
118045,7607,67
118233,11104,413
118241,2769,315
118269,2755,64
118310,1944504,2089
118369,38337,125
118381,397003,10092
118506,115,361
118593,52000,875
118639,20542,614
118644,210057,5238
118675,1831,546
118708,876364,3345
118726,865154,13278
