CompletionTime_us,FlowSize_B,FCT_us
100062,1415,62
100063,2600,63
100065,5018,65
100066,5944,66
100066,6123,66
100067,7331,67
100111,23138,111
100115,27837,115
100116,29658,116
100121,100,121
100139,1956,139
100140,2368,140
100158,54138,158
100162,4187,162
100162,1912,162
100162,4109,162
100167,66082,167
100169,4817,169
100177,6796,177
100177,4214,177
100185,7108,185
100192,6859,192
100196,6257,196
100214,8759,214
100220,9284,220
100235,9342,235
100240,11511,240
100259,10813,259
100285,13305,285
100328,16024,328
100340,21693,340
100369,23763,369
100373,14726,373
100376,18223,376
100384,23426,384
100398,19330,398
100436,23503,436
100443,23103,443
100451,23546,451
100467,28405,467
100471,9117,207
100475,28807,475
100487,46855,149
100493,25575,493
100541,26550,541
100554,526618,554
100572,30484,572
100575,32623,575
100578,9281,273
100580,35878,580
100586,28765,586
100613,37330,613
100618,35499,618
100641,9612,144
100651,37232,651
100656,14490,194
100670,38570,670
100670,26846,443
100687,22341,277
100739,6183,154
100742,45504,742
100842,49819,842
100855,47254,855
100868,2024,147
100872,60418,449
100896,46870,896
100916,53113,916
100925,50878,343
100946,9094,149
100956,54970,956
100987,50842,987
101022,48016,1022
101032,63891,1032
101067,78942,1067
101089,67554,514
101137,55225,1137
101155,53236,1155
101190,77813,1190
101201,58855,1201
101204,73285,1204
101209,68778,167
101218,76779,1218
101236,25151,300
101269,77247,1269
101280,37693,291
101291,56174,353
101295,71944,1295
101296,72636,1296
101330,76628,1330
101340,75067,1340
101348,16516,247
101357,4543,145
101399,36119,123
101427,70650,1333
101539,61961,768
101599,70918,374
101617,4072,166
101621,107076,1621
101665,77274,1665
101721,25526,265
101731,69611,1731
101736,120529,526
101794,27251,292
101899,6179,210
101945,158631,1945
102003,21723,331
102016,26113,257
102111,57535,972
102128,24750,286
102135,24616,284
102210,170531,2210
102309,9578,169
102339,40839,500
102340,10942,70
102399,9315,175
102474,38821,325
102480,33884,271
102495,162722,2495
102523,69642,1741
102529,78524,434
102542,7027,183
102565,66904,453
102581,1767,155
102673,2987175,2673
102682,2603,173
102798,18501,295
102868,40902,629
102898,34223,400
102906,3020,173
102923,51220,706
102937,49327,533
103011,121154,3011
103056,824647,937
103100,29828,352
103148,38386,124
103241,77487,175
103338,10264,181
103370,741,154
103371,59130,671
103409,9990,191
103434,64021,1560
103474,1396,174
103496,1227133,1422
103503,43907,679
103574,396882,3574
103595,48277,554
103615,42414,509
103624,43611,698
103647,65538,1094
103772,21989,253
103865,149450,2272
103951,71693,974
103996,3831,152
104004,135605,1649
104081,2240,151
104298,77936,920
104347,22975,270
104429,2689,63
104460,31165,301
104501,9949,177
104535,4165,64
104578,24844,248
104611,38557,509
104613,73829,1000
104656,67500,1759
104668,67713,166
104741,5408961,4741
104769,71597,1296
104785,32564,383
104909,8070,175
105019,1486,147
105081,47679,801
105170,2432983,2373
105301,544394,598
105396,71150,1481
105486,158112,2175
105494,2017444,2152
105550,7931,199
105641,15507,104
105739,69723,1511
105740,168064,300
105770,2712205,2508
105813,3622,155
105862,59469,615
105887,251225,4078
106008,5272,190
106123,50853,606
106133,104350,1556
106136,23780,303
106139,4051738,4128
106165,72601,853
106268,533633,6268
106319,58671,658
106426,19392,282
106453,11524,170
106562,91580,939
106577,66712,1300
106711,22687,274
106723,22222,274
106801,68233,1066
106856,18908,254
107010,14360,179
107086,24523,309
107169,102381,2518
107200,13356,198
107235,175944,4171
107240,51174,152
107340,23735,287
107442,8586,191
107504,21076,322
107508,49678,576
107526,50411,518
107552,80188,846
107577,8029,179
107597,571022,7597
107630,7622,193
107638,2909,134
107653,8312,164
107673,62664,595
107682,12387,206
107685,4911,192
107685,788222,7685
107728,195434,4586
107778,22769,289
107810,25726,311
107843,77543,1422
107921,1469,163
108173,34474,411
108181,195169,4729
108327,5240,160
108337,40993,305
108362,78143,2336
108502,75744,1132
108519,987517,1213
108532,38472,517
108555,52977,566
108599,281,158
108660,51935,155
108767,789255,8767
108779,594,142
108824,3179,204
108882,24766,324
108910,14370,216
108949,7247,149
109029,224,166
109036,2811,173
109047,103847,643
109078,465653,624
109088,24036,297
109173,531179,648
109309,17892,307
109321,72649,1500
109350,36555,127
109376,1916,164
109475,139295,1948
109761,28443,417
109779,180071,3888
109781,4216299,6442
109877,48851,150
109924,19176,279
109935,44083,145
109937,684207,9729
109972,56086,902
110209,22252,317
110319,77994,1096
110330,68361,168
110545,4139,155
110938,889161,8203
111007,55710,522
111065,4541381,7319
111089,5180,163
111111,35407,416
111173,635232,11173
111191,106725,199
111245,44699,754
111315,14728,258
111341,187133,6846
111482,7885,197
111498,54203,1055
111510,439298,7125
111551,5982,155
111586,6212,176
111595,9381,214
111600,65410,1631
111685,75172,662
111687,54147,379
111696,28812,419
111725,237411,3785
111747,538808,9903
111810,14347,174
111818,44750,995
111958,32729,119
112018,604,153
112034,107517,1490
112037,7371088,7072
112104,127694,1613
112115,9716,268
112125,231194,4405
112125,464337,11342
112146,101974,2305
112149,1831,62
112154,20482,261
112178,38438,124
112215,3180,166
112255,20099,285
112272,26137,355
112282,167585,2075
112288,580315,12288
112299,20542,283
112449,18850,327
112460,49461,558
112470,8032,170
112471,29138,376
112518,21913,277
112797,53467,2125
112837,77688,755
112846,77712,1901
112863,1117981,12863
112883,951,61
112914,15090,251
112968,26816,300
113024,62137,925
113036,52000,1224
113085,11734,196
113133,25578,113
113217,1202115,1506
113325,14365,213
113387,9167,157
113535,12595,226
113547,31267,441
113555,7910,172
113575,17236,331
113588,7545,197
113624,8481,255
113656,67468,1027
113715,60112,1347
113756,26445,302
113821,14524,231
113920,1615,191
114004,3994786,3766
114088,48640,1004
114119,6934185,6679
114139,1252565,14139
114183,8831,210
114201,39367,659
114230,3166,170
114331,831770,14331
114365,7607,172
114413,62446,2080
114447,5496,156
114508,1444,178
114522,163119,5682
114621,9992,164
114680,25591,342
114685,45622,398
114688,3471,138
114701,406,173
114709,933024,13940
114765,77669,1443
114913,14532,186
114952,3662,160
114989,46815,534
115000,183757,6432
115115,56266,732
115127,29680,375
115130,27814,280
115199,870134,15199
115320,7481,171
115356,853,185
115409,7766,170
115425,4094,195
115456,24172,112
115521,23445,330
115544,61103,434
115593,95353,190
115598,9704,180
115734,7878,164
115754,26,179
115909,23690,111
115915,175645,7216
115934,581003,9945
115944,2676,150
115983,27010,261
116053,1685,172
116072,7725,164
116182,22022,303
116317,5268,65
116333,8908,181
116383,58808,2346
116471,3336112,4873
116507,62635,1886
116528,1068295,1297
116554,4020,64
116569,77372,1054
116575,434914,7106
116593,58540,641
116620,4394,65
116679,2401,160
116726,35087,663
116770,9987,209
116843,28622,282
116870,901928,16870
116933,77956,2182
117001,38975,531
117022,2465,64
117083,132315,4018
117089,50266,1108
117211,51870,1101
117218,3649,164
117237,6161,179
117377,839807,17377
117484,78213,1334
117504,14775,320
117582,72524,2054
117633,3905,234
117725,77374,658
117787,380113,469
117816,65196,169
117843,29581,455
117843,7825,167
117924,197726,286
117943,26744,401
117968,31649,524
118009,61635,804
118026,70833,672
118035,24512,112
118057,9044,192
118093,2553,170
118093,146866,1354
118135,3992,158
118147,670897,14114
118295,7958,98
118336,586045,11848
118339,571234,14688
118407,18965,299
118409,32189,542
118432,86738,518
118468,134989,6669
118482,18414,303
118529,2738,175
118549,76418,1356
118577,28113,293
118622,2280,179
118662,7419,156
118689,13072,190
118776,118143,2687
118814,9772,163
118831,31445,401
118868,1008312,17545
118875,7248,183
118941,51488,367
118955,9050,185
119011,5853,194
119083,294466,12043
119137,918703,19067
119163,54744,1763
119191,2525640,2422
119261,161285,250
119339,346074,11665
119385,78880,2667
119450,1285987,19450
119499,1657609,1703
119562,68712,2981
119589,29557,514
119591,327554,9048
119708,12849,195
119730,24459,313
119876,25741,302
119913,56970,739
119927,23501,360
119973,12307,231
119989,753885,19989
119999,5068,205
120013,1115,196
120015,24136,308
120044,10487334,13269
120160,687,139
120270,1096012,20270
120340,183242,6374
120419,25443,115
120541,76714,1036
120604,18293,290
120690,29379,316
120749,177878,5701
120817,28779,321
