CompletionTime_us,FlowSize_B,FCT_us
100062,1415,62
100063,2600,63
100065,5018,65
100066,5944,66
100066,6123,66
100067,7331,67
100111,23138,111
100115,27837,115
100116,29658,116
100121,100,121
100139,1956,139
100140,2368,140
100158,54138,158
100162,4187,162
100162,1912,162
100162,4109,162
100167,66082,167
100169,4817,169
100177,6796,177
100177,4214,177
100185,7108,185
100192,6859,192
100196,6257,196
100214,8759,214
100220,9284,220
100235,9342,235
100240,11511,240
100259,10813,259
100285,13305,285
100328,16024,328
100348,21693,348
100354,23763,354
100357,23426,357
100361,14726,361
100366,18223,366
100375,28405,375
100399,19330,399
100407,23503,407
100458,28807,458
100470,37232,470
100480,23546,480
100488,46855,149
100495,32623,495
100496,28765,496
100503,26550,503
100503,23103,503
100516,25575,516
100521,30484,521
100542,9117,278
100547,35878,547
100554,526618,554
100561,38570,561
100574,35499,574
100574,37330,574
100640,45504,640
100646,47254,646
100671,9612,174
100674,46870,674
100681,9281,377
100730,14490,268
100730,48016,730
100745,6183,159
100807,22341,398
100811,26846,584
100813,53113,813
100818,53236,818
100854,2024,133
100860,50842,860
100871,58855,871
100892,60418,469
100903,78942,903
100934,69611,934
100966,50878,384
100969,9094,172
100971,71944,971
100990,49819,990
101003,67554,429
101005,54970,1005
101013,63891,1013
101022,55225,1022
101104,77247,1104
101105,77813,1105
101105,73285,1105
101117,77274,1117
101136,72636,1136
101180,76628,1180
101203,61961,432
101209,68778,167
101214,76779,1214
101270,25151,335
101307,56174,368
101340,37693,351
101350,70650,1256
101362,170531,1362
101366,75067,1366
101398,36119,122
101403,16516,302
101419,4543,207
101456,107076,1456
101637,4072,186
101640,70918,416
101749,25526,293
101826,69642,1044
101828,27251,326
101927,6179,239
101931,57535,792
102023,121154,2023
102025,162722,2025
102047,158631,2047
102069,26113,311
102110,21723,439
102200,24750,359
102203,40839,364
102232,24616,380
102333,9578,193
102340,10942,70
102431,9315,207
102552,7027,193
102557,33884,349
102599,38821,450
102622,1767,197
102637,40902,398
102665,2987175,2665
102709,2603,200
102816,66904,704
102853,49327,449
102932,64021,1058
102933,18501,430
102997,3020,264
103034,824647,915
103039,78524,944
103044,34223,546
103151,38386,127
103179,51220,962
103185,120529,1974
103245,149450,1652
103246,77487,179
103303,29828,555
103342,43907,518
103360,396882,3360
103423,10264,266
103426,59130,727
103432,43611,506
103492,1227133,1418
103494,67500,596
103498,741,282
103500,9990,283
103542,1396,242
103568,48277,527
103654,65538,1100
103945,42414,839
103949,21989,430
103957,135605,1602
103998,71597,525
104068,3831,224
104082,71693,1105
104136,73829,523
104171,2240,240
104371,77936,992
104429,2689,64
104495,22975,418
104535,4165,64
104546,38557,445
104562,9949,238
104588,31165,429
104661,24844,331
104668,67713,166
104738,5408961,4738
104805,47679,525
104884,533633,4884
104886,71150,971
104994,8070,259
105098,2432983,2301
105164,1486,292
105196,32564,795
105248,2017444,1906
105300,544394,598
105306,195434,2163
105496,571022,5496
105514,158112,2203
105612,7931,260
105641,15507,104
105671,580315,5671
105694,168064,255
105808,69723,1581
105864,2712205,2602
105949,3622,291
106016,50853,499
106020,4051738,4008
106020,66712,743
106110,5272,293
106116,59469,870
106207,102381,1556
106323,23780,489
106348,58671,687
106441,251225,4632
106533,19392,389
106552,11524,269
106555,175944,3491
106819,22687,383
106841,72601,1529
106866,22222,416
107003,18908,400
107008,104350,2430
107078,788222,7078
107137,77543,716
107202,24523,425
107207,14360,376
107238,195169,3787
107240,51174,152
107261,13356,259
107417,68233,1682
107514,8586,263
107521,23735,468
107639,21076,458
107646,62664,568
107658,78143,1632
107675,8029,277
107687,7622,249
107724,49678,792
107747,8312,258
107756,4911,262
107805,12387,329
107880,2909,375
107886,789255,7886
107900,25726,402
107910,22769,421
107943,80188,1237
107998,1469,240
108013,635232,8013
108060,50411,1052
108150,34474,389
108355,987517,1048
108355,5240,188
108387,91580,2765
108518,38472,502
108645,281,204
108660,51935,155
108677,40993,644
108868,72649,1048
108880,139295,1353
108889,3179,269
108932,594,295
108981,24766,423
109037,14370,343
109081,75744,1711
109090,465653,636
109132,7247,332
109157,531179,632
109183,2811,319
109195,224,333
109204,24036,413
109236,52977,1247
109348,36555,125
109470,17892,468
109535,1916,322
109666,464337,8884
109737,4216299,6399
109834,28443,489
109878,48851,151
109935,44083,145
109975,1117981,9975
110011,889161,7276
110036,180071,4145
110047,187133,5552
110197,103847,1794
110236,19176,590
110329,68361,167
110360,22252,467
110446,56086,1376
110676,4139,286
110721,538808,8878
110933,77994,1710
110972,831770,10972
111001,101974,1159
111091,4541381,7346
111191,106725,199
111205,5180,279
111207,54203,764
111208,35407,513
111501,684207,11292
111518,44699,1026
111551,55710,1066
111598,14728,541
111608,7885,324
111698,9381,316
111707,5982,311
111708,6212,298
111901,44750,1079
111904,14347,267
111954,918703,11884
111958,32729,119
111987,7371088,7022
112032,65410,2063
112137,753885,12137
112139,28812,863
112147,604,282
112149,1831,62
112172,53467,1500
112177,107517,1633
112181,38438,126
112277,20482,385
112311,3180,262
112326,9716,479
112391,183757,3823
112496,20542,480
112512,29138,417
112544,20099,573
112579,26137,662
112599,8032,300
112628,18850,506
112672,49461,769
112726,54147,1417
112745,21913,505
112787,52000,975
112798,77688,716
112804,75172,1781
112819,237411,4879
112861,231194,5142
112883,951,61
112999,1202115,1288
113054,62446,722
113061,839807,13061
113095,62137,996
113111,15090,447
113138,25578,118
113237,26816,569
113245,60112,878
113264,11734,375
113427,901928,13427
113443,14365,332
113471,9167,241
113529,420847,8670
113643,12595,335
113658,31267,553
113666,7910,283
113672,7545,281
113703,8481,334
113749,1252565,13749
113785,17236,541
113918,14524,328
113955,67468,1326
113973,3994786,3735
113991,163119,5151
113999,1615,270
114012,6934185,6572
114015,933024,13246
114034,26445,580
114056,48640,972
114097,127694,3606
114324,3166,264
114339,8831,367
114514,7607,321
114559,39367,1017
114600,5496,310
114668,1444,337
114738,9992,282
114774,25591,435
114812,406,284
114824,3471,274
114839,58808,803
114892,45622,605
115035,175645,6337
115051,14532,324
115053,56266,671
115098,571234,11448
115102,3662,310
115394,439298,11009
115428,29680,676
115456,24172,112
115470,853,298
115474,7481,325
115507,77669,2184
115511,7766,273
115525,27814,676
115582,4094,352
115593,95353,191
115627,77956,876
115651,9704,233
115670,23445,480
115779,77712,4835
115824,294466,8785
115851,7878,281
115881,26,305
115909,23690,111
115922,327554,5379
115936,1119600,15936
115937,870134,15937
116084,2676,291
116109,167585,5903
116186,46815,1731
116209,1685,327
116289,7725,381
116298,27010,576
116305,22022,426
116317,5268,65
116334,1008312,15010
116383,72524,856
116416,1068295,1185
116448,62635,1827
116451,8908,299
116498,3336112,4899
116530,1096012,16530
116554,4020,64
116568,77372,1053
116604,1208575,16604
116621,4394,66
116757,35087,695
116789,2401,271
116879,9987,318
117021,2465,63
117163,51870,1052
117189,346074,9515
117246,134989,5446
117264,61103,2154
117353,28622,792
117382,78213,1232
117396,3649,342
117412,6161,354
117457,38975,988
117589,58540,1636
117598,50266,1617
117611,1292044,17611
117724,132315,4659
117756,14775,572
117776,1652224,17776
117786,380113,468
117805,3905,406
117811,65196,165
117915,78880,1198
117934,197726,297
117989,586045,11501
118010,7825,333
118035,24512,112
118126,9044,261
118140,70833,785
118171,31649,728
118208,434914,8739
118233,68712,1653
118235,2553,312
118252,26744,710
118281,29581,894
118295,7958,98
118317,3992,340
118476,32189,609
118566,2738,212
118586,1285987,18586
118627,670897,14595
118754,18965,646
118760,76418,1567
118771,7419,266
118795,18414,616
118798,2280,355
118826,13072,328
118834,28113,551
118897,61635,1692
118910,118143,2821
118910,54744,1510
118941,9772,289
118956,31445,526
119025,7248,333
119028,86738,1115
119057,9050,287
119173,5853,356
119215,2525640,2446
119257,161285,247
119346,10487334,12571
119392,1657609,1596
119534,51488,959
119610,29557,534
119748,146866,3009
119767,12849,254
119894,56970,720
119915,24459,499
120066,12307,324
120099,25741,525
120129,5068,335
120144,1115,326
120184,23501,618
120199,24136,493
120291,687,269
120394,77374,3327
120421,25443,117
120562,183242,6596
